page,country,rev_id,score
List of politicians in Poland,Poland,516633096,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:516633096)', 'type': 'RevisionNotFound'}}"
Tingtingru,Vanuatu,550682925,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:550682925)', 'type': 'RevisionNotFound'}}"
Daud Arsala,Afghanistan,627547024,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:627547024)', 'type': 'RevisionNotFound'}}"
Bharat Saud,Nepal,671484594,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:671484594)', 'type': 'RevisionNotFound'}}"
Robert Sych,Poland,684023803,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:684023803)', 'type': 'RevisionNotFound'}}"
Marek Krzysztof Jeleniewski,Poland,684023859,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:684023859)', 'type': 'RevisionNotFound'}}"
Narayani Datt Chataut,Nepal,698572327,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:698572327)', 'type': 'RevisionNotFound'}}"
Mohammad Amjad,Pakistan,699260156,"{'error': {'message': 'TextDeleted: Text deleted (datasource.revision.text)', 'type': 'TextDeleted'}}"
Gomez das Mariñas,Spain,703773782,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:703773782)', 'type': 'RevisionNotFound'}}"
Valerio De Los Benidos,Cuba,706204833,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:706204833)', 'type': 'RevisionNotFound'}}"
Kamlesh Arya,Fiji,706810694,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:706810694)', 'type': 'RevisionNotFound'}}"
Khaled Aghbariyya,Israel,709508670,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:709508670)', 'type': 'RevisionNotFound'}}"
Vladimir Shamakhov,Russia,710311600,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:710311600)', 'type': 'RevisionNotFound'}}"
Panu Laturi,Finland,711288191,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:711288191)', 'type': 'RevisionNotFound'}}"
Michel Ximenes,France,711513274,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:711513274)', 'type': 'RevisionNotFound'}}"
I Gede Sumantara Ady Pratama,Indonesia,712411818,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712411818)', 'type': 'RevisionNotFound'}}"
Łukasz Kowalski,Poland,712872338,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872338)', 'type': 'RevisionNotFound'}}"
Blanka Olszewska,Poland,712872421,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872421)', 'type': 'RevisionNotFound'}}"
Janusz Jerzy Drozdalski,Poland,712872473,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872473)', 'type': 'RevisionNotFound'}}"
Piotr Michał Trzaska,Poland,712872531,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712872531)', 'type': 'RevisionNotFound'}}"
Anna Teresa Piórkowska,Poland,712873183,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873183)', 'type': 'RevisionNotFound'}}"
Edward Ignacy Hartwich,Poland,712873308,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873308)', 'type': 'RevisionNotFound'}}"
Lech Andrzej Zagłoba-Zygler,Poland,712873386,"{'error': {'message': 'RevisionNotFound: Could not find revision ({revision}:712873386)', 'type': 'RevisionNotFound'}}"
