article_name,country,region,rev_id,article_quality,population
Bir I of Kanem,Chad,AFRICA,355319463,Stub,16.877
Information Minister of the Palestinian National Authority,Palestinian Territory,ASIA,393276188,Stub,5.008
Yos Por,Cambodia,ASIA,393822005,Stub,15.497
Robert Douglas Cook,Canada,NORTHERN AMERICA,401577829,Stub,38.19
List of Grand Viziers of Egypt,Egypt,AFRICA,442937236,Stub,100.803
Sehba Musharraf,Pakistan,ASIA,448555418,Stub,220.94
Butler-Belmont family,United States,NORTHERN AMERICA,470173494,Start,329.87800000000004
List of Canadian incumbents by year,Canada,NORTHERN AMERICA,477962574,Stub,38.19
Sheikh Sadiq Ali Ansari,India,ASIA,492060822,Stub,1400.1
Cayetano Pacana,Philippines,ASIA,492964343,Stub,109.581
Abdullah II of Kanem,Chad,AFRICA,498683267,Stub,16.877
Heard-Hawes family,United States,NORTHERN AMERICA,502721672,C,329.87800000000004
List of German politicians,Germany,EUROPE,521986779,Stub,83.3
Raspicious Dzanjalimodzi,Malawi,AFRICA,532253442,Stub,19.13
Manuel Antonio Blas Sáenz,Nicaragua,LATIN AMERICA AND THE CARIBBEAN,543225630,Stub,6.596
Béla Vörösmarty,Hungary,EUROPE,545936100,Stub,9.767000000000001
Presidents of the General Council of French Guiana,French Guiana,LATIN AMERICA AND THE CARIBBEAN,546364151,Start,294.0
Finn Sjue,Norway,EUROPE,549300521,Stub,5.3870000000000005
Russell family (American political family),United States,NORTHERN AMERICA,550953646,Stub,329.87800000000004
Maximo Suniel,Philippines,ASIA,559553872,Stub,109.581
Mihály Mikes (soldier),Hungary,EUROPE,559788982,Stub,9.767000000000001
The Man with the Chocolate Robe,Iran,ASIA,560758943,Stub,84.15
List of Malta Labour Party leaders,Malta,EUROPE,561744402,Stub,522.0
Marquis of Amboage,Spain,EUROPE,564873005,Stub,47.635
Salmama II of Kanem,Chad,AFRICA,565745353,Stub,16.877
Kuri I of Kanem,Chad,AFRICA,565745365,Stub,16.877
Mohammed I of Kanem,Chad,AFRICA,565745375,Stub,16.877
"List of members of the parliament of Malta, 2008–13",Malta,EUROPE,573710096,B,522.0
Samuel Nii Ayi Mankattah,Ghana,AFRICA,576988466,Stub,31.073
Hemed Khamis,Tanzania,AFRICA,585894477,Stub,59.733999999999995
Council of Ministers of Togo,Togo,AFRICA,595693452,Start,8.279
Finance Minister of the Palestinian National Authority,Palestinian Territory,ASIA,596181202,Start,5.008
Abdullah Al Nuaimi (politician),United Arab Emirates,ASIA,598819900,Start,9.777999999999999
Zhang Zhenzhou,China,ASIA,601122766,Stub,1402.385
Feng Liao,China,ASIA,601127343,Start,1402.385
Wu Shihuo,China,ASIA,614786300,Start,1402.385
Kennedy Kiliku,Kenya,AFRICA,623004627,Stub,53.528
Kamu de Almeida,Angola,AFRICA,623334577,Stub,32.522
Hiša Marije Pomočnice,Slovenia,EUROPE,624468970,Stub,2.103
Đuro Šurmin,Croatia,EUROPE,625509885,Start,4.02
Suishō,Japan,ASIA,626606789,Stub,125.96700000000001
Nikolai Sulima,Russia,EUROPE,627001041,Stub,146.733
Khayelihle Mathaba,South Africa,AFRICA,627051151,Stub,59.628
Vilho Turunen,Finland,EUROPE,627432937,Stub,5.529
Vihtori Aromaa,Finland,EUROPE,628261896,Stub,5.529
Jonathan Wartiovaara,Finland,EUROPE,628268705,Stub,5.529
Arvi Turkka,Finland,EUROPE,628270736,Stub,5.529
Juho Heikkinen,Finland,EUROPE,628312759,Stub,5.529
Emanuel Aromaa,Finland,EUROPE,628379479,Stub,5.529
Jukka Lankila,Finland,EUROPE,628563978,Stub,5.529
Jalmari Malmi,Finland,EUROPE,628619000,Stub,5.529
